epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.384,1.58742,1.98384,1.21006,0.49348,0.49524,0.46747,0.28799,1.30368,1.51831,1.07573,0.000474835,0.000474835,0.000474835
2,1062.5,1.33473,1.24244,1.09297,0.62743,0.57532,0.60156,0.3935,1.2019,1.08205,1.03356,0.000941752,0.000941752,0.000941752
3,1580.49,1.27042,1.14227,1.0791,0.65559,0.58766,0.61576,0.40145,1.17683,1.07093,1.02598,0.00139924,0.00139924,0.00139924
4,2109.34,1.23044,1.07747,1.05835,0.68495,0.60237,0.64089,0.41871,1.15613,0.98862,1.02246,0.00138656,0.00138656,0.00138656
5,2637.63,1.20778,1.04568,1.04778,0.71259,0.62267,0.67228,0.45041,1.11198,0.95607,1.00608,0.00137241,0.00137241,0.00137241
6,3170.99,1.20412,1.00639,1.04882,0.65874,0.63612,0.65134,0.42336,1.19459,0.96767,1.01796,0.00135826,0.00135826,0.00135826
7,3696.9,1.16729,0.98217,1.03456,0.70361,0.63929,0.68457,0.46237,1.08298,0.89545,0.995,0.00134412,0.00134412,0.00134412
8,4229.89,1.14738,0.94437,1.02808,0.69677,0.6366,0.67388,0.45092,1.08382,0.90643,0.99432,0.00132997,0.00132997,0.00132997
9,4754.91,1.14031,0.93697,1.02204,0.70161,0.64349,0.69058,0.46412,1.06813,0.88806,0.9899,0.00131582,0.00131582,0.00131582
10,5314.31,1.12721,0.91332,1.01897,0.71192,0.64483,0.69499,0.4714,1.06593,0.88828,0.98371,0.00130168,0.00130168,0.00130168
11,5847.65,1.12239,0.90269,1.01314,0.70562,0.66877,0.70853,0.48182,1.04762,0.86625,0.98462,0.00128753,0.00128753,0.00128753
12,6370.35,1.111,0.88867,1.01294,0.71361,0.66125,0.70945,0.48831,1.04121,0.83568,0.98418,0.00127338,0.00127338,0.00127338
13,6894.48,1.09698,0.8714,1.00835,0.71681,0.65027,0.70045,0.47217,1.06259,0.83321,0.98554,0.00125923,0.00125923,0.00125923
14,7427.93,1.10817,0.87904,1.00692,0.70123,0.6896,0.71783,0.4904,1.03154,0.83828,0.97922,0.00124509,0.00124509,0.00124509
15,7957.87,1.09154,0.86482,1.00508,0.71629,0.67293,0.72032,0.49385,1.01959,0.81529,0.97384,0.00123094,0.00123094,0.00123094
16,8485.04,1.07625,0.85254,1.0035,0.72654,0.6671,0.71467,0.49556,1.02744,0.82028,0.9707,0.00121679,0.00121679,0.00121679
17,9013.49,1.074,0.84613,0.99967,0.71627,0.67573,0.71951,0.49466,1.03735,0.81014,0.9798,0.00120265,0.00120265,0.00120265
18,9539.52,1.07451,0.84377,0.99639,0.71171,0.6928,0.72755,0.50352,1.00802,0.81226,0.97029,0.0011885,0.0011885,0.0011885
19,10169.3,1.07631,0.83841,0.99817,0.71887,0.67534,0.72592,0.49296,1.032,0.8192,0.97735,0.00117435,0.00117435,0.00117435
20,11125.7,1.05416,0.82565,0.99001,0.7265,0.67153,0.72594,0.50136,1.01278,0.79347,0.9695,0.00116021,0.00116021,0.00116021
21,11891.9,1.04909,0.81665,0.98708,0.70373,0.68397,0.72604,0.50763,1.00675,0.7961,0.96821,0.00114606,0.00114606,0.00114606
22,12461.6,1.05215,0.81521,0.99243,0.70582,0.69743,0.7307,0.50432,1.00859,0.79471,0.97117,0.00113191,0.00113191,0.00113191
23,13185,1.06556,0.82386,0.99635,0.71689,0.68025,0.73079,0.51022,1.00359,0.79129,0.96799,0.00111776,0.00111776,0.00111776
24,13906.1,1.04981,0.81467,0.98842,0.7214,0.68555,0.73723,0.51814,0.9877,0.7688,0.96603,0.00110362,0.00110362,0.00110362
25,14695.2,1.03567,0.80983,0.98428,0.72358,0.67801,0.7319,0.50902,1.00756,0.78783,0.96879,0.00108947,0.00108947,0.00108947
26,15477.3,1.03939,0.80804,0.98517,0.72316,0.68483,0.73859,0.5139,0.99831,0.78378,0.96914,0.00107532,0.00107532,0.00107532
27,16322,1.03836,0.8117,0.98822,0.7318,0.68534,0.73728,0.51713,0.98725,0.77498,0.96516,0.00106118,0.00106118,0.00106118
28,17155.9,1.03111,0.79954,0.98215,0.71121,0.68389,0.72918,0.50612,1.00269,0.80525,0.97079,0.00104703,0.00104703,0.00104703
29,18069.2,1.02489,0.7871,0.98239,0.71088,0.69843,0.73813,0.51979,0.98022,0.77224,0.96236,0.00103288,0.00103288,0.00103288
30,18907.7,1.03483,0.79049,0.9821,0.72658,0.69788,0.74157,0.51559,0.9833,0.7646,0.96545,0.00101873,0.00101873,0.00101873
31,19744.3,1.01592,0.78149,0.98159,0.72296,0.70343,0.74931,0.52493,0.97032,0.7552,0.95996,0.00100459,0.00100459,0.00100459
32,20556.1,1.01315,0.78075,0.98049,0.73237,0.69268,0.74255,0.51977,0.97499,0.77385,0.96136,0.00099044,0.00099044,0.00099044
33,21439,1.01217,0.77697,0.97772,0.73268,0.69078,0.7429,0.51812,0.9904,0.75829,0.96473,0.000976293,0.000976293,0.000976293
34,22272.2,1.02204,0.77764,0.98268,0.73005,0.69573,0.74825,0.52352,0.97873,0.75665,0.95992,0.000962146,0.000962146,0.000962146
35,23376.4,1.00354,0.76291,0.97544,0.71708,0.70159,0.7464,0.52513,0.97397,0.75588,0.96019,0.000947999,0.000947999,0.000947999
36,24428.5,1.00156,0.76768,0.97423,0.72738,0.69992,0.74758,0.52358,0.97044,0.76217,0.95607,0.000933851,0.000933851,0.000933851
37,25435,1.00859,0.7744,0.97851,0.73186,0.70791,0.7574,0.53217,0.96049,0.74354,0.95565,0.000919704,0.000919704,0.000919704
38,26339.5,1.00726,0.7667,0.97627,0.73211,0.70278,0.75568,0.52881,0.96824,0.74734,0.9563,0.000905557,0.000905557,0.000905557
39,27422.6,0.99561,0.75922,0.97247,0.73248,0.69532,0.74733,0.52335,0.96989,0.74661,0.95918,0.00089141,0.00089141,0.00089141
40,28290.2,0.99488,0.75534,0.96987,0.71044,0.71904,0.7518,0.53052,0.95728,0.74586,0.95566,0.000877263,0.000877263,0.000877263
41,29118.9,0.98539,0.74384,0.96931,0.71918,0.70841,0.75181,0.52863,0.95714,0.75361,0.95381,0.000863116,0.000863116,0.000863116
42,30118.7,0.98844,0.75195,0.97044,0.72936,0.70375,0.75584,0.53255,0.95392,0.7488,0.95369,0.000848969,0.000848969,0.000848969
43,31053.4,0.98511,0.74647,0.96701,0.72689,0.71265,0.75608,0.53034,0.96091,0.74887,0.95143,0.000834822,0.000834822,0.000834822
44,31943.7,0.99179,0.74643,0.96709,0.73558,0.70522,0.76262,0.53449,0.96674,0.74207,0.95366,0.000820675,0.000820675,0.000820675
